anchor_index,anchor_t,particle,energy_mev,target_t,nearest_zero_index,nearest_zero_t,predicted_energy_mev,relative_error,inferred_L_star_fm
13,59.34704400260235,electron,0.51099895,59.34704400260235,13,59.34704400260235,0.51099895,0.0,22917.41106062831
13,59.34704400260235,muon,105.6583755,12271.08638881153,12846,12271.065771677264,105.65819797921294,-1.680139281170713e-06,22917.372556185765
13,59.34704400260235,tau,1776.86,206363.21974137914,308716,206363.21447759305,1776.8599546769476,-2.550738510111592e-08,22917.41047606508
