rule,description,offset,l_star_m,mape,rmse,max_abs_rel,bootstrap_cv,perm_p95,synthetic_p95,poisson_p95,falsification_status
rank_lock_offset_1,Rank i -> gamma_(1+i) after ascending-mass sort.,1,3.6947340335831375e-40,0.34518921751080966,12.9455329032272,0.9981761401643992,0.08520001976208959,0.7460738189277403,0.9595491960477133,0.3723596634584136,not_supported
rank_lock_offset_8,Rank i -> gamma_(8+i) after ascending-mass sort.,8,5.070904734074359e-40,0.39320621696852676,26.856456861007977,0.9991833767429817,0.11138651839043592,0.5430068295350984,0.9100291171449628,0.41825896529635026,not_supported
rank_lock_offset_16,Rank i -> gamma_(16+i) after ascending-mass sort.,16,6.455204638208353e-40,0.41408229182693546,39.554598063578126,0.999328549759746,0.11588450233462319,0.5162368632623499,0.9007889394060012,0.4326440147239597,not_supported
